Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2022-06-09,2,28000,850,2 out of 6,2,"Nanja Reddy Colony, Jeevan Bima Nagar",Bangalore,2,Bachelors/Family,2,Contact Agent
2022-05-30,1,6500,150,1 out of 2,1,"Subhash Nagar, Kengeri Satellite Town",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-23,1,9000,445,1 out of 3,2,"Murugeshpalya, Airport Road",Bangalore,2,Bachelors/Family,1,Contact Agent
2022-07-08,2,8500,500,2 out of 3,2,"Electronics City Phase 1, Electronic City",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-21,2,20000,750,2 out of 3,2,"Venkateshappa Layout-Kammanahalli, Kammanahalli",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-07-02,3,26000,2000,1 out of 2,2,"Rbi Colony-Jayanagar, Jayanagar",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-05,1,8000,500,1 out of 3,1,Electronic City,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-05,1,8500,730,2 out of 4,1,K R Puram,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-24,2,12500,750,1 out of 4,1,Neelasandra,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-16,1,8000,600,3 out of 4,1,Ramagondanahalli,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-07-09,3,52000,2710,4 out of 7,1,Thanisandra,Bangalore,2,Bachelors,3,Contact Agent
2022-06-12,2,18000,1190,3 out of 4,2,Basava Nagar,Bangalore,2,Bachelors,2,Contact Owner
2022-07-07,1,15000,435,2 out of 5,2,"Murugeshpalya, Airport Road",Bangalore,2,Bachelors/Family,1,Contact Agent
2022-04-29,2,12000,750,1 out of 3,1,"Electronics City Phase 1, Electronic City",Bangalore,1,Bachelors/Family,2,Contact Owner
2022-05-27,3,100000,1800,2 out of 4,2,Bilal Nagar-Sagayapura,Bangalore,2,Bachelors/Family,3,Contact Agent
2022-06-14,1,6000,1200,3 out of 5,2,Lakshmipura,Bangalore,2,Bachelors,1,Contact Owner
2022-05-05,2,12000,600,2 out of 3,1,Btm Layout,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-11,1,6500,450,2 out of 2,1,Mathikere,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-06-16,3,13500,1100,3 out of 5,1,Kudlu Gate,Bangalore,1,Family,3,Contact Owner
2022-06-30,1,10000,700,1 out of 1,1,Nagarbhavi,Bangalore,1,Bachelors,1,Contact Owner
2022-06-04,2,8500,650,8 out of 8,2,Attibele,Bangalore,2,Family,2,Contact Owner
2022-06-27,3,32000,1768,8 out of 13,1,Yelahanka,Bangalore,2,Family,3,Contact Agent
2022-06-20,3,42000,1600,3 out of 5,2,"Hrbr Layout Block 2, Kalyan Nagar, Outer Ring Road",Bangalore,2,Family,3,Contact Agent
2022-05-05,1,7500,400,2 out of 4,1,C V Raman Nagar,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-23,2,16000,1200,1 out of 4,1,Kengeri,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-10,1,5000,500,2 out of 4,1,Rayasandra,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-07-04,2,14000,700,1 out of 2,1,C V Raman Nagar,Bangalore,1,Bachelors/Family,2,Contact Owner
2022-05-15,4,60000,2500,1 out of 2,1,Basaveshvara Nagar,Bangalore,2,Family,4,Contact Owner
2022-06-23,1,8500,500,2 out of 4,1,Hulimavu,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-26,1,10000,500,Ground out of 3,2,snv la,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-04-30,1,8500,500,1 out of 2,1,"Rmv Extension, Armane Nagar",Bangalore,2,Bachelors,1,Contact Owner
2022-05-05,2,15000,1280,Ground out of 5,2,"Ittamadu, Banashankari, Outer Ring Road",Bangalore,1,Bachelors/Family,2,Contact Owner
2022-05-16,2,9500,200,Ground out of 2,2,Kengeri Upanagara,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-12,2,25000,750,4 out of 5,2,Koramangala,Bangalore,1,Bachelors/Family,2,Contact Agent
2022-07-07,2,14000,900,2 out of 3,1,K R Puram,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-05,3,20000,1200,Ground out of 2,1,Basaveshwar Nagar,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-07-05,1,10000,800,1 out of 1,1,Ramamurthy Nagar,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-05-10,2,10000,500,2 out of 4,2,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,1,Bachelors,1,Contact Owner
2022-04-29,2,13000,1000,Ground out of 3,1,"Jayanti Nagar, Hormavu",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-07-02,2,13000,850,Lower Basement out of 2,2,Sun City Layout,Bangalore,2,Family,2,Contact Owner
2022-06-12,2,24000,900,2 out of 5,2,Koramangala,Bangalore,2,Bachelors/Family,2,Contact Agent
2022-07-04,1,10000,600,3 out of 4,1,"State Bank Of India Colony, Hegganahalli",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-07-04,1,8000,600,2 out of 4,1,Mahadevapura,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-07-04,1,6000,600,1 out of 4,1,Begur,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-07-04,3,21000,1250,Ground out of 1,1,Margondanahalli,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-23,3,25000,2000,1 out of 1,1,Horamavu,Bangalore,2,Bachelors/Family,3,Contact Owner
2022-05-19,2,8500,532,1 out of 2,2,Tannery Road,Bangalore,1,Bachelors,1,Contact Owner
2022-06-08,2,13000,1000,1 out of 4,1,Whitefield,Bangalore,1,Bachelors/Family,2,Contact Owner
2022-06-20,1,5000,150,2 out of 3,1,Rajarajeshwari Nagar,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-05-23,1,7500,500,1 out of 4,1,Mahadevapura,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-07-04,1,13900,600,1 out of 4,2,"Nallurhalli, Whitefield, Borewell Road",Bangalore,2,Bachelors/Family,1,Contact Agent
2022-05-22,2,15000,1100,3 out of 3,2,Uttarahalli,Bangalore,2,Bachelors,2,Contact Owner
2022-05-27,3,30000,1500,4 out of 4,2,"Panduranga Nagar, bannerghatta main Road",Bangalore,2,Bachelors/Family,3,Contact Agent
2022-07-06,2,13000,500,2 out of 5,2,Koramangala,Bangalore,2,Bachelors,1,Contact Agent
2022-04-29,1,7700,600,1 out of 2,2,Sir M V Nagar,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-14,2,25000,1200,5 out of 12,1,Yelahanka,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-07-06,2,17000,1100,1 out of 4,1,"Kaggadasapura, Indira nagar",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-07-07,3,39000,1550,1 out of 13,2,Hennur Main Road,Bangalore,2,Bachelors/Family,3,Contact Agent
2022-07-02,2,18000,1050,1 out of 3,2,Varthur,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-05,1,15000,500,1 out of 2,1,Shanti Nagar,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-05,2,28000,1500,1 out of 4,1,Shivaji Nagar,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-24,2,17500,1150,3 out of 4,2,"Vijaya Bank Colony -Bilekahalli, Bilekahalli",Bangalore,2,Family,2,Contact Agent
2022-05-23,4,75000,2000,Ground out of 2,1,Hsr Layout,Bangalore,2,Bachelors/Family,3,Contact Owner
2022-05-11,2,14000,110,1 out of 2,2,RT Nagar,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-04-29,1,9000,500,3 out of 4,1,"Jp Nagar Phase 7, J P Nagar",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-08,3,20000,1465,2 out of 4,1,Sunkadakatte,Bangalore,2,Bachelors/Family,3,Contact Owner
2022-06-04,2,12000,940,2 out of 5,2,"Attur Layout, Yelahanka New Town",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-23,2,12000,850,Ground out of 4,1,Basaveshwar Nagar,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-07-02,2,24000,990,14 out of 30,2,Tumkur Road,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-20,2,12000,750,Ground out of 3,1,BBMP convertion layout,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-20,1,10000,500,2 out of 3,1,Garvebhavi Palya,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-16,3,24000,1430,2 out of 3,1,"Jp Nagar Phase 7, J P Nagar",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-08,1,9000,600,3 out of 4,2,"Chelekare, Kalyan Nagar, Outer Ring Road",Bangalore,2,Family,1,Contact Owner
2022-06-11,2,12000,900,1 out of 2,2,"Jeevanhalli, Cox Town",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-04-29,2,11000,1100,Ground out of 2,1,Konanakunte,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-04-29,2,15000,900,1 out of 3,2,"Venkatpura, HSR Layout",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-23,1,5500,600,2 out of 3,1,Byatarayanapura,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-23,2,18000,1000,Ground out of 4,2,Kudlu Gate,Bangalore,2,Family,2,Contact Owner
2022-07-06,2,42000,1150,2 out of 4,2,Koramangala,Bangalore,2,Bachelors,2,Contact Agent
2022-04-29,2,18000,1250,1 out of 4,1,"Devarachikannahalli, Begur Road",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-04-29,2,15000,1000,1 out of 4,1,"Jp Nagar Phase 7, J P Nagar",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-04,1,6000,500,2 out of 3,1,"Electronic City Phase 2, Electronic City",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-14,3,30000,2000,1 out of 1,1,"Jp Nagar Phase 6, J P Nagar, Outer Ring Road",Bangalore,2,Bachelors/Family,3,Contact Owner
2022-04-30,2,12000,850,Ground out of 2,1,Choodasandra,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-28,2,10000,990,Ground out of 2,2,"Hbr Layout Block 2, HBR Layout",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-27,2,9500,850,1 out of 2,2,Raghavendra Layout,Bangalore,2,Bachelors,1,Contact Owner
2022-05-05,2,16000,1000,4 out of 5,1,"Kaggadasapura, Indira nagar",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-23,2,9500,650,4 out of 5,1,Nagvarpalya Main Road,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-16,1,6500,400,2 out of 2,2,whitefield,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-03,2,13500,1000,2 out of 2,2,Mylasandra,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-04-29,2,25000,1350,12 out of 13,1,Doddaballapur Road,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-23,2,9500,600,2 out of 3,1,Hbr Layout,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-08,4,190000,4000,Ground out of 2,1,Koramangala,Bangalore,2,Bachelors/Family,5,Contact Owner
2022-06-28,2,90000,950,4 out of 5,2,Aarna Enclave,Bangalore,1,Bachelors/Family,2,Contact Owner
2022-06-30,2,24000,777,4 out of 8,2,Yelahanka,Bangalore,2,Family,2,Contact Agent
2022-06-23,3,15000,1200,2 out of 4,2,Electronic City,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-10,2,22000,1600,Ground out of 2,1,Kodigehalli,Bangalore,2,Bachelors/Family,3,Contact Owner
2022-06-20,3,34000,1500,14 out of 20,2,Yeshwantpur,Bangalore,2,Bachelors,3,Contact Agent
2022-06-06,2,12500,570,1 out of 3,1,Btm Layout Stage 4,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-07-03,3,28000,1800,18 out of 19,2,Mysore Road,Bangalore,2,Bachelors/Family,3,Contact Owner
2022-07-04,2,12000,1100,1 out of 3,1,Arakere,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-23,1,8000,400,Ground out of 2,1,"Lingarajapuram, Lingarajapuram, Hennur Main Road",Bangalore,1,Bachelors/Family,1,Contact Owner
2022-06-11,1,7500,750,1 out of 1,2,Bettadasanapura,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-03,2,34000,1400,5 out of 5,2,HRBR Layout Block 1,Bangalore,2,Bachelors,2,Contact Agent
2022-06-27,3,32000,1789,8 out of 13,1,Yelahanka,Bangalore,2,Family,3,Contact Agent
2022-05-23,2,14500,650,1 out of 2,2,"Maruthi Nagar-Kaggadasapura, Kaggadasapura",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-04-29,2,16000,1200,2 out of 4,1,Hulimavu,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-04-29,1,7500,460,3 out of 4,1,Singahalli,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-24,2,7500,500,1 out of 2,2,"Kammagondahalli, Jalahalli",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-07-06,2,19500,1080,Ground out of 2,2,Bda Layout -Lingarajapuram,Bangalore,2,Family,2,Contact Owner
2022-06-10,3,75000,2000,1 out of 5,2,Dhobi Ghat- Rajajinagar,Bangalore,2,Bachelors,2,Contact Agent
2022-07-06,2,16500,1100,2 out of 3,1,Hbr Layout,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-01,2,14500,1025,8 out of 9,1,Chandapura,Bangalore,1,Bachelors,2,Contact Owner
2022-06-27,2,16000,650,Ground out of 3,2,"Aradhana Layout, Arakere",Bangalore,1,Bachelors/Family,2,Contact Owner
2022-05-23,2,8000,800,1 out of 3,1,Mahadevapura,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-07-06,3,280000,2800,6 out of 30,2,Rajajinagar,Bangalore,2,Bachelors/Family,3,Contact Agent
2022-05-19,2,21000,1100,3 out of 4,2,Hennur Main Road,Bangalore,2,Bachelors,2,Contact Agent
2022-05-19,3,30000,1300,2 out of 4,2,Maruthi Sevanagar,Bangalore,2,Bachelors,3,Contact Agent
2022-06-16,3,65000,2000,3 out of 6,1,Frazer Town,Bangalore,2,Bachelors,3,Contact Agent
2022-06-16,3,180000,2500,4 out of 8,2,Mahatma Gandhi Road,Bangalore,1,Bachelors,3,Contact Agent
2022-06-08,2,10000,600,2 out of 4,1,Hommadevanahalli,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-07-07,2,12000,630,3 out of 5,1,Whitefield,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-07-07,2,9000,550,Ground out of 2,1,Hosakerehalli,Bangalore,1,Bachelors/Family,2,Contact Owner
2022-06-01,2,22000,1025,3 out of 3,1,Basaveshvara Nagar,Bangalore,2,Family,2,Contact Owner
2022-05-08,1,10000,500,1 out of 4,2,Kadugodi Pattalamma Layout,Bangalore,2,Bachelors,1,Contact Owner
2022-05-25,3,48000,1286,8 out of 16,2,Hebbal,Bangalore,2,Bachelors,3,Contact Agent
2022-06-22,1,11000,800,Ground out of 4,1,Adugodi,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-09,2,11000,900,1 out of 3,1,"Singasandra, Hosur Road",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-23,3,40000,1618,2 out of 4,1,Yelahanka New Town,Bangalore,2,Bachelors/Family,3,Contact Owner
2022-06-08,1,10000,500,2 out of 5,1,Marathahalli-Sarjapur Outer Ring Road,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-27,1,6500,450,Ground out of 2,2,Garden City University,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-04-29,2,18000,850,3 out of 4,1,Padmanabha Nagar,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-07-07,3,22000,1374,Ground out of 16,1,Kanakapura Road,Bangalore,2,Family,2,Contact Agent
2022-05-30,3,28000,1600,2 out of 4,1,Banaswadi,Bangalore,2,Bachelors/Family,3,Contact Owner
2022-06-10,1,6200,400,2 out of 3,1,Nagarbhavi,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-12,3,110000,1500,6 out of 16,2,Hebbal,Bangalore,2,Bachelors/Family,3,Contact Agent
2022-06-15,2,5500,800,1 out of 4,1,Kengeri Hobli,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-05-21,3,50000,1580,3 out of 3,2,Koramangala 8Th Block,Bangalore,1,Bachelors,3,Contact Agent
2022-06-23,2,12000,700,Ground out of 2,2,Agrahara Layout,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-08,2,11500,700,Ground out of 2,1,Sadashiva Nagar,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-20,1,16000,550,1 out of 7,2,"Doddanekundi, Kartik Nagar",Bangalore,2,Bachelors/Family,1,Contact Agent
2022-06-16,1,11000,450,4 out of 4,2,Krishna Reddy Layout -Domlur,Bangalore,2,Bachelors/Family,1,Contact Agent
2022-06-18,4,150000,4550,3 out of 5,1,"Jakkur Plantation, Jakkuru, Bellary Road",Bangalore,2,Family,5,Contact Agent
2022-06-30,1,9000,400,1 out of 1,1,"Laxminarayana Layout, Munnekollal",Bangalore,2,Bachelors,1,Contact Owner
2022-07-07,1,6000,650,Ground out of 3,1,Jnana Ganga Nagar,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-07-04,2,12000,700,1 out of 4,1,Bagalur,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-27,2,16000,1333,2 out of 4,1,"Ms Palya, Vidyaranyapura",Bangalore,1,Bachelors,2,Contact Owner
2022-05-31,3,35000,1500,1 out of 4,2,Vasanth Nagar,Bangalore,2,Bachelors/Family,2,Contact Agent
2022-05-27,1,9000,425,2 out of 5,2,"Murugeshpalya, Airport Road",Bangalore,2,Bachelors/Family,1,Contact Agent
2022-05-27,1,8000,300,Ground out of 3,1,Airport Road,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-06-30,2,13500,650,2 out of 3,2,Vijayanagar,Bangalore,1,Family,2,Contact Owner
2022-06-15,2,14000,800,Ground out of 2,1,"Banashankari Stage 2, Banashankari",Bangalore,2,Family,2,Contact Owner
2022-07-07,2,14000,1200,2 out of 3,2,Srinivaspura,Bangalore,2,Family,2,Contact Owner
2022-05-05,1,4700,500,1 out of 4,1,Chikkabanavara,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-05-05,2,17000,1000,3 out of 4,1,Mavalli,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-04,2,11000,600,1 out of 3,1,K R Puram,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-08,1,12000,600,2 out of 3,1,Thanisandra,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-04-27,3,30000,1875,3 out of 3,1,"Jp Nagar Phase 1, J P Nagar",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-05,2,12000,1000,Ground out of 4,1,K R Puram,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-05,3,21000,1300,3 out of 3,1,Hormavu Ring Road,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-14,1,6000,350,3 out of 4,1,Sunkadakatte,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-06-04,2,18500,900,2 out of 3,1,Rajajinagar,Bangalore,1,Bachelors/Family,2,Contact Owner
2022-04-27,1,4750,200,2 out of 2,2,"Chamundeshwari Layout, Arakere",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-23,2,15000,700,1 out of 5,1,Yeshwantpur,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-14,2,17600,1000,1 out of 4,2,Hosur Road,Bangalore,2,Bachelors,2,Contact Owner
2022-06-10,3,35000,1700,10 out of 13,2,Thanisandra,Bangalore,2,Bachelors/Family,3,Contact Agent
2022-05-27,2,8000,600,2 out of 3,1,Ullal Main Road,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-05,1,7000,650,2 out of 5,1,Rayasandra,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-05,2,15000,750,Ground out of 2,1,Byrathi,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-10,3,30000,1750,1 out of 3,1,"Chowdeshwari Layout, Yelahanka",Bangalore,2,Bachelors/Family,3,Contact Owner
2022-06-02,3,100000,1950,3 out of 3,2,Koramangala Block 3,Bangalore,2,Bachelors/Family,3,Contact Agent
2022-05-23,2,18000,1065,2 out of 5,2,Horamavu,Bangalore,2,Bachelors/Family,2,Contact Agent
2022-05-23,2,8000,600,Ground out of 1,1,Nagadevana Halli,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-23,2,9000,600,2 out of 4,1,Laggere,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-27,1,6000,500,Ground out of 2,1,Doddanagamangala,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-07-04,2,7500,600,Ground out of 2,1,K R Puram,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-07-04,1,15000,600,5 out of 5,2,"A Narayanapura, Mahadevapura",Bangalore,2,Bachelors/Family,1,Contact Agent
2022-07-06,2,10000,900,1 out of 1,2,"Chikbasavnapura, Krishnarajapura",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-23,2,14000,500,Ground out of 3,1,Shivaji Nagar,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-23,1,7000,600,2 out of 3,1,Sunkadakatte,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-07-06,3,60000,1710,6 out of 18,2,"Ambedkar Colony, Yelahanka",Bangalore,1,Bachelors/Family,3,Contact Agent
2022-05-23,1,6000,600,3 out of 4,1,Doddabidarakallu,Bangalore,1,Bachelors,1,Contact Owner
2022-06-13,3,17000,1100,1 out of 3,2,Anjanapura,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-06,2,15000,920,4 out of 4,1,Yelahanka,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-30,1,8200,750,2 out of 4,1,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-07-07,1,8500,300,2 out of 3,1,Bommanahalli,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-23,3,20000,1660,1 out of 3,2,"Doddathoguru, Electronic City",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-23,1,8000,400,2 out of 3,1,"Vimanapura, Airport Road",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-04-29,2,20000,300,1 out of 3,1,Nagarathpete,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-26,1,11500,300,1 out of 2,2,"Cooke Town, Cooke Town",Bangalore,1,Bachelors,1,Contact Owner
2022-05-16,3,30000,2000,3 out of 3,2,"Jakkur Plantation, Jakkuru, Bellary Road",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-12,3,22000,1200,4 out of 4,2,Doddakammanahalli,Bangalore,2,Bachelors,3,Contact Owner
2022-04-28,1,6500,300,2 out of 3,1,Hebbal,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-25,1,6500,700,Ground out of 1,1,Hosakerehalli,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-05-18,2,16000,850,Ground out of 2,1,"Jp Nagar Phase 1, J P Nagar",Bangalore,2,Bachelors/Family,3,Contact Owner
2022-05-26,1,24000,700,7 out of 7,2,"Domlur, Domlur",Bangalore,2,Bachelors/Family,1,Contact Agent
2022-07-07,1,15000,455,2 out of 4,2,"Murugeshpalya, Airport Road",Bangalore,2,Bachelors/Family,1,Contact Agent
2022-06-26,2,18000,1000,Ground out of 4,2,"Sai Colony, Krishnarajapura",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-30,1,8500,600,1 out of 2,1,Shivaji Nagar,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-05-23,1,4000,250,Ground out of 2,1,Vijayanagar,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-05-23,1,5000,400,1 out of 2,1,T Dasarahalli,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-07-04,2,22000,1200,3 out of 5,2,Mahadevapura,Bangalore,2,Bachelors/Family,2,Contact Agent
2022-04-27,1,12000,500,2 out of 5,2,"Electronics City Phase 1, Electronic City",Bangalore,2,Bachelors,1,Contact Owner
2022-05-23,1,9000,350,2 out of 3,1,Btm Layout,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-04-29,2,7500,1100,Ground out of 3,1,"Vinayak Nagar, Kattigenahalli",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-04,2,30000,1650,2 out of 3,1,Ganga Nagar,Bangalore,1,Bachelors/Family,3,Contact Owner
2022-05-05,4,14000,1000,Ground out of 4,1,"Electronic City Phase 2, Electronic City",Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-19,2,9250,500,2 out of 3,1,Banashankari,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-29,1,13000,700,1 out of 5,1,Gh society,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-23,2,12000,1200,Ground out of 5,1,Vijayanagar,Bangalore,1,Bachelors/Family,2,Contact Owner
2022-04-27,1,12000,600,1 out of 2,1,Wilson Garden,Bangalore,1,Bachelors/Family,1,Contact Owner
2022-05-01,2,10000,925,2 out of 5,1,Electronic City,Bangalore,1,Bachelors/Family,2,Contact Owner
2022-07-09,3,60000,2400,Ground out of 8,2,Koramangala,Bangalore,2,Bachelors,3,Contact Agent
2022-05-23,3,35000,1500,1 out of 9,2,Hebbal,Bangalore,2,Bachelors/Family,3,Contact Agent
2022-05-27,2,12000,600,Ground out of 4,1,"Dooravani Nagar, Dooravani Nagar",Bangalore,1,Bachelors/Family,2,Contact Owner
2022-05-27,1,14000,435,3 out of 5,2,"Murugeshpalya, Airport Road",Bangalore,2,Bachelors/Family,1,Contact Agent
2022-05-14,1,8000,650,Ground out of 1,2,"Srinivasa Nagar-Banashankari, Banashankari",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-15,2,11000,700,Ground out of 2,2,Uttarahalli,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-06-30,2,20000,890,5 out of 12,2,Yelahanka,Bangalore,2,Bachelors/Family,2,Contact Agent
2022-06-23,1,12500,600,3 out of 4,1,Hbr Layout,Bangalore,2,Bachelors/Family,1,Contact Owner
2022-06-23,2,35000,1250,3 out of 4,2,Cunningham Road,Bangalore,2,Bachelors/Family,2,Contact Agent
2022-07-04,3,26000,1350,2 out of 5,2,Mahadevapura,Bangalore,2,Bachelors/Family,2,Contact Agent
2022-07-06,3,85000,2600,8 out of 18,2,Hebbal,Bangalore,2,Family,4,Contact Agent
2022-05-27,1,14000,440,2 out of 5,2,"Murugeshpalya, Airport Road",Bangalore,2,Bachelors/Family,1,Contact Agent
2022-05-18,2,22000,1150,1 out of 4,2,Electronic City,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-16,1,7000,450,2 out of 4,1,"Electronic City Phase 2, Electronic City",Bangalore,2,Bachelors/Family,1,Contact Owner
2022-04-29,2,16000,1150,3 out of 5,1,Nri Layout,Bangalore,2,Bachelors/Family,2,Contact Owner
2022-05-28,2,11000,600,2 out of 5,2,Gottigere,Bangalore,1,Bachelors,1,Contact Owner
2022-06-30,2,20000,980,4 out of 12,2,Yelahanka,Bangalore,2,Family,2,Contact Agent
2022-07-05,3,60000,1850,3 out of 3,2,Halasuru,Bangalore,2,Bachelors/Family,3,Contact Owner
2022-05-31,2,5000,625,1 out of 3,2,Kadabagere,Bangalore,2,Bachelors/Family,2,Contact Owner
